round,giver,receiver,tokens,
-1,Lemuel,Laman,0,
-1,Lemuel,Amulek,0,
-1,Lemuel,Lemuel,0,
-1,Laman,Laman,0,
-1,Laman,Amulek,0,
-1,Laman,Lemuel,0,
-1,Amulek,Laman,0,
-1,Amulek,Amulek,0,
-1,Amulek,Lemuel,0,
0,Lemuel,Laman,0,
0,Lemuel,Amulek,-6,
0,Lemuel,Lemuel,0,
0,Laman,Laman,0,
0,Laman,Amulek,3,
0,Laman,Lemuel,-3,
0,Amulek,Laman,0,
0,Amulek,Amulek,3,
0,Amulek,Lemuel,3,
1,Laman,Laman,0,
1,Laman,Amulek,3,
1,Laman,Lemuel,-3,
1,Amulek,Laman,0,
1,Amulek,Amulek,0,
1,Amulek,Lemuel,-6,
1,Lemuel,Laman,-5,
1,Lemuel,Amulek,-1,
1,Lemuel,Lemuel,0,
2,Amulek,Laman,3,
2,Amulek,Amulek,3,
2,Amulek,Lemuel,0,
2,Laman,Laman,0,
2,Laman,Amulek,1,
2,Laman,Lemuel,-5,
2,Lemuel,Laman,0,
2,Lemuel,Amulek,-6,
2,Lemuel,Lemuel,0,
3,Lemuel,Laman,0,
3,Lemuel,Amulek,-6,
3,Lemuel,Lemuel,0,
3,Laman,Laman,0,
3,Laman,Amulek,3,
3,Laman,Lemuel,-3,
3,Amulek,Laman,0,
3,Amulek,Amulek,0,
3,Amulek,Lemuel,-6,
4,Lemuel,Laman,6,
4,Lemuel,Amulek,0,
4,Lemuel,Lemuel,0,
4,Amulek,Laman,6,
4,Amulek,Amulek,0,
4,Amulek,Lemuel,0,
4,Laman,Laman,3,
4,Laman,Amulek,3,
4,Laman,Lemuel,0,
5,Amulek,Laman,3,
5,Amulek,Amulek,3,
5,Amulek,Lemuel,0,
5,Lemuel,Laman,6,
5,Lemuel,Amulek,0,
5,Lemuel,Lemuel,0,
5,Laman,Laman,3,
5,Laman,Amulek,3,
5,Laman,Lemuel,0,
6,Laman,Laman,0,
6,Laman,Amulek,-6,
6,Laman,Lemuel,0,
6,Lemuel,Laman,6,
6,Lemuel,Amulek,0,
6,Lemuel,Lemuel,0,
6,Amulek,Laman,0,
6,Amulek,Amulek,6,
6,Amulek,Lemuel,0,
7,Laman,Laman,6,
7,Laman,Amulek,0,
7,Laman,Lemuel,0,
7,Lemuel,Laman,6,
7,Lemuel,Amulek,0,
7,Lemuel,Lemuel,0,
7,Amulek,Laman,0,
7,Amulek,Amulek,6,
7,Amulek,Lemuel,0,
8,Laman,Laman,1,
8,Laman,Amulek,0,
8,Laman,Lemuel,5,
