round,agent,popularity,
-1,Laman,100,
-1,Amulek,100,
-1,Lemuel,100,
0,Laman,95,
0,Amulek,87.5,
0,Lemuel,93,
1,Laman,66.7,
1,Amulek,103.305,
1,Lemuel,61.36000000000001,
2,Laman,83.57225,
2,Amulek,96.59313033333333,
2,Lemuel,29.54965800000001,
3,Laman,84.73443503733333,
3,Amulek,113.76922561677335,
3,Lemuel,0,
4,Laman,108.26605782957267,
4,Amulek,112.25799739951964,
4,Lemuel,0,
5,Laman,116.11514804249609,
5,Amulek,117.83860707894978,
5,Lemuel,0,
6,Laman,95.38256990233394,
6,Amulek,119.11971176864155,
6,Lemuel,0,
7,Laman,91.24028278450126,
7,Amulek,115.33909103457705,
7,Lemuel,0,
