round,giver,receiver,tokens,
-1,Sharon,Jeremiah,0,
-1,Sharon,Sharon,0,
-1,Sharon,David,0,
-1,Sharon,Adam,0,
-1,Sharon,Samuel,0,
-1,Sharon,Aaron,0,
-1,Sharon,Joseph,0,
-1,Sharon,Melchizedek,0,
-1,David,Jeremiah,0,
-1,David,Sharon,0,
-1,David,David,0,
-1,David,Adam,0,
-1,David,Samuel,0,
-1,David,Aaron,0,
-1,David,Joseph,0,
-1,David,Melchizedek,0,
-1,Samuel,Jeremiah,0,
-1,Samuel,Sharon,0,
-1,Samuel,David,0,
-1,Samuel,Adam,0,
-1,Samuel,Samuel,0,
-1,Samuel,Aaron,0,
-1,Samuel,Joseph,0,
-1,Samuel,Melchizedek,0,
-1,Jeremiah,Jeremiah,0,
-1,Jeremiah,Sharon,0,
-1,Jeremiah,David,0,
-1,Jeremiah,Adam,0,
-1,Jeremiah,Samuel,0,
-1,Jeremiah,Aaron,0,
-1,Jeremiah,Joseph,0,
-1,Jeremiah,Melchizedek,0,
-1,Melchizedek,Jeremiah,0,
-1,Melchizedek,Sharon,0,
-1,Melchizedek,David,0,
-1,Melchizedek,Adam,0,
-1,Melchizedek,Samuel,0,
-1,Melchizedek,Aaron,0,
-1,Melchizedek,Joseph,0,
-1,Melchizedek,Melchizedek,0,
-1,Joseph,Jeremiah,0,
-1,Joseph,Sharon,0,
-1,Joseph,David,0,
-1,Joseph,Adam,0,
-1,Joseph,Samuel,0,
-1,Joseph,Aaron,0,
-1,Joseph,Joseph,0,
-1,Joseph,Melchizedek,0,
-1,Aaron,Jeremiah,0,
-1,Aaron,Sharon,0,
-1,Aaron,David,0,
-1,Aaron,Adam,0,
-1,Aaron,Samuel,0,
-1,Aaron,Aaron,0,
-1,Aaron,Joseph,0,
-1,Aaron,Melchizedek,0,
-1,Adam,Jeremiah,0,
-1,Adam,Sharon,0,
-1,Adam,David,0,
-1,Adam,Adam,0,
-1,Adam,Samuel,0,
-1,Adam,Aaron,0,
-1,Adam,Joseph,0,
-1,Adam,Melchizedek,0,
0,Sharon,Jeremiah,8,
0,Sharon,Sharon,0,
0,Sharon,David,0,
0,Sharon,Adam,0,
0,Sharon,Samuel,0,
0,Sharon,Aaron,0,
0,Sharon,Joseph,8,
0,Sharon,Melchizedek,0,
0,David,Jeremiah,0,
0,David,Sharon,0,
0,David,David,1,
0,David,Adam,5,
0,David,Samuel,0,
0,David,Aaron,5,
0,David,Joseph,5,
0,David,Melchizedek,0,
0,Samuel,Jeremiah,0,
0,Samuel,Sharon,0,
0,Samuel,David,5,
0,Samuel,Adam,5,
0,Samuel,Samuel,1,
0,Samuel,Aaron,0,
0,Samuel,Joseph,0,
0,Samuel,Melchizedek,5,
0,Jeremiah,Jeremiah,0,
0,Jeremiah,Sharon,0,
0,Jeremiah,David,0,
0,Jeremiah,Adam,0,
0,Jeremiah,Samuel,6,
0,Jeremiah,Aaron,0,
0,Jeremiah,Joseph,5,
0,Joseph,Jeremiah,0,
0,Joseph,Sharon,6,
0,Joseph,David,0,
0,Joseph,Adam,2,
0,Joseph,Samuel,0,
0,Joseph,Aaron,3,
0,Joseph,Joseph,0,
0,Joseph,Melchizedek,5,
0,Aaron,Jeremiah,4,
0,Aaron,Sharon,8,
0,Aaron,David,0,
0,Aaron,Adam,0,
0,Aaron,Samuel,4,
0,Aaron,Aaron,0,
0,Aaron,Joseph,0,
0,Aaron,Melchizedek,0,
0,Adam,Jeremiah,0,
0,Adam,Sharon,0,
0,Adam,David,0,
