round,agent,popularity,
-1,Jeremiah,100,
-1,Sharon,100,
-1,David,100,
-1,Adam,100,
-1,Samuel,100,
-1,Aaron,100,
-1,Joseph,100,
-1,Melchizedek,100,
0,Jeremiah,99.5,
0,Sharon,102.75,
0,David,89.3625,
0,Adam,132.3,
0,Samuel,110.4875,
0,Aaron,93,
0,Joseph,109.25,
0,Melchizedek,104.375,
1,Jeremiah,92.10823437500002,
1,Sharon,121.42587499999999,
1,David,91.97909406250001,
1,Adam,107.29051750000002,
1,Samuel,118.8562690625,
1,Aaron,106.78929687499999,
1,Joseph,132.293875,
1,Melchizedek,122.476234375,
2,Jeremiah,76.65400754101563,
2,Sharon,138.61384358281254,
2,David,107.09800244741564,
2,Adam,104.42193954510314,
2,Samuel,133.17192354649376,
2,Aaron,109.41745553914062,
2,Joseph,148.11676485562504,
2,Melchizedek,134.44530159765628,
3,Jeremiah,86.0592142839336,
3,Sharon,144.85242947245453,
3,David,127.63854886486277,
3,Adam,106.35828323691074,
3,Samuel,152.90433178741694,
3,Aaron,123.93368986223052,
3,Joseph,138.12893685921856,
3,Melchizedek,128.38203844351497,
4,Jeremiah,100.38609107730272,
4,Sharon,150.63411265110133,
4,David,135.503533882538,
4,Adam,123.80142345777996,
4,Samuel,137.34839906571705,
4,Aaron,138.96098643399137,
4,Joseph,134.90545262830744,
4,Melchizedek,155.58504056878309,
5,Jeremiah,103.14607526929535,
5,Sharon,139.45477205792199,
5,David,128.89765555738242,
5,Adam,147.05257746332205,
5,Samuel,146.24574732679767,
5,Aaron,183.6037901584874,
5,Joseph,129.3923632688428,
5,Melchizedek,167.4504128305706,
6,Jeremiah,115.51903269988996,
6,Sharon,154.91466783209424,
6,David,117.38285492361494,
6,Adam,163.64349784536452,
6,Samuel,160.66485588688886,
6,Aaron,194.58848547809595,
6,Joseph,140.97332569630487,
6,Melchizedek,178.62003977437809,
7,Jeremiah,125.99482757672209,
7,Sharon,169.8291222819934,
7,David,111.11376463251925,
7,Adam,176.32207377025694,
7,Samuel,175.6202231149806,
7,Aaron,210.85163452970295,
7,Joseph,158.40458429640398,
7,Melchizedek,188.1503210759682,
8,Jeremiah,133.99264938080262,
8,Sharon,187.35594935768347,
8,David,111.95845024975293,
8,Adam,206.02965003152673,
8,Samuel,142.86825967381884,
8,Aaron,214.9978642605118,
8,Joseph,174.64977439598113,
8,Melchizedek,219.1830802568535,
9,Jeremiah,144.4071054596829,
9,Sharon,202.8456232991699,
9,David,122.12891859805265,
9,Adam,212.63858846745657,
9,Samuel,167.4496684681429,
9,Aaron,224.80009176225389,
9,Joseph,201.31276462130688,
9,Melchizedek,215.0359509985361,
10,Jeremiah,153.7900511678847,
10,Sharon,221.86301030127999,
10,David,147.40127140210672,
10,Adam,214.9396850109316,
10,Samuel,179.66935351717976,
10,Aaron,236.99581756651025,
10,Joseph,219.5185552548541,
10,Melchizedek,228.8082543189432,
11,Jeremiah,176.67699936792997,
11,Sharon,240.39681274910623,
11,David,170.18764279106472,
11,Adam,221.51488555034103,
11,Samuel,194.43908396757027,
11,Aaron,251.933753475271,
11,Joseph,238.9911219266568,
11,Melchizedek,231.49061801775298,
12,Jeremiah,197.7970527672266,
12,Sharon,260.3147513578375,
12,David,192.7292364236485,
12,Adam,230.65810188634995,
12,Samuel,209.72262508013537,
12,Aaron,269.43986852146463,
12,Joseph,259.45432207360193,
12,Melchizedek,238.58354413502713,
13,Jeremiah,268.1114340304251,
13,Sharon,218.36443595179227,
13,David,187.87429525750173,
13,Adam,216.3004280424802,
13,Samuel,255.23204236805253,
13,Aaron,288.7815383843247,
13,Joseph,281.09926620578847,
13,Melchizedek,222.54625035702458,
14,Jeremiah,288.45752183272873,
14,Sharon,124.92035867211416,
14,David,246.16462267933505,
14,Adam,207.19258930424638,
14,Samuel,220.3137671826466,
14,Aaron,305.64104635323696,
14,Joseph,243.62283157493084,
14,Melchizedek,216.5077648219782,
15,Jeremiah,229.9191547364214,
15,Sharon,69.00986998869952,
15,David,286.9353109360451,
15,Adam,247.35581861643254,
15,Samuel,208.13909628824987,
15,Aaron,224.7878985601521,
15,Joseph,256.7487111174151,
15,Melchizedek,221.5008777329133,
16,Jeremiah,250.1000597076588,
16,Sharon,71.32631099729036,
16,David,272.12236211046394,
16,Adam,234.5270284423288,
16,Samuel,214.04512524305417,
16,Aaron,248.4408329144744,
16,Joseph,206.48879810303043,
16,Melchizedek,270.6652673404178,
17,Jeremiah,270.9567859115786,
17,Sharon,89.20204912525713,
17,David,271.7530412444157,
17,Adam,245.03908652923386,
17,Samuel,227.1975488333522,
17,Aaron,197.91679914261408,
17,Joseph,204.48439637627314,
17,Melchizedek,288.1252767406873,
18,Jeremiah,279.757521393176,
18,Sharon,123.32271724351148,
18,David,280.56931356489724,
18,Adam,265.64532581061934,
18,Samuel,256.4163513861819,
18,Aaron,181.85270108503786,
18,Joseph,186.01096265201792,
18,Melchizedek,290.7980977650499,
19,Jeremiah,292.15078844378866,
19,Sharon,143.41266115899052,
19,David,293.433979082296,
19,Adam,287.08928649126096,
19,Samuel,288.3179863336213,
19,Aaron,184.1297130315574,
19,Joseph,187.9874443748343,
19,Melchizedek,293.0289808434435,
20,Jeremiah,262.73383826177576,
20,Sharon,209.08830566727107,
20,David,286.13518034972276,
20,Adam,319.46822959587104,
20,Samuel,309.64255861044626,
20,Aaron,172.84782164412707,
20,Joseph,175.91705297611273,
20,Melchizedek,318.7651679456443,
