round,Jeremiah,Sharon,David,Adam,Samuel,Aaron,Joseph,Melchizedek
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,99.5,102.75,89.3625,132.3,110.4875,93.0,109.25,104.375
2,92.10823437500002,121.425875,91.9790940625,107.29051750000002,118.8562690625,106.789296875,132.293875,122.476234375
3,76.65400754101563,138.61384358281254,107.09800244741564,104.42193954510314,133.17192354649376,109.41745553914062,148.11676485562504,134.44530159765628
4,86.0592142839336,144.85242947245453,127.63854886486276,106.35828323691074,152.90433178741694,123.93368986223052,138.12893685921856,128.38203844351497
5,100.38609107730272,150.63411265110133,135.503533882538,123.80142345777996,137.34839906571705,138.96098643399137,134.90545262830744,155.58504056878309
6,103.14607526929537,139.454772057922,128.89765555738242,147.05257746332205,146.24574732679767,183.6037901584874,129.3923632688428,167.4504128305706
7,115.51903269988996,154.91466783209424,117.38285492361494,163.64349784536452,160.66485588688886,194.58848547809595,140.97332569630487,178.62003977437809
8,125.99482757672207,169.8291222819934,111.11376463251923,176.32207377025694,175.6202231149806,210.85163452970292,158.40458429640398,188.1503210759682
9,133.99264938080262,187.35594935768347,111.95845024975291,206.02965003152676,142.86825967381884,214.9978642605118,174.64977439598113,219.1830802568535
10,144.4071054596829,202.8456232991699,122.12891859805264,212.63858846745657,167.4496684681429,224.80009176225389,201.31276462130688,215.0359509985361
11,153.7900511678847,221.86301030128,147.40127140210672,214.9396850109316,179.66935351717976,236.99581756651023,219.5185552548541,228.8082543189432
12,176.67699936792997,240.39681274910623,170.18764279106472,221.51488555034103,194.43908396757027,251.933753475271,238.9911219266568,231.49061801775295
13,197.7970527672266,260.3147513578375,192.7292364236485,230.65810188634995,209.72262508013537,269.43986852146463,259.454322073602,238.58354413502715
14,268.1114340304251,218.36443595179227,187.87429525750173,216.3004280424802,255.23204236805253,288.7815383843247,281.09926620578847,222.54625035702455
15,288.4575218327288,124.92035867211416,246.16462267933505,207.1925893042464,220.3137671826466,305.64104635323696,243.62283157493084,216.5077648219782
16,229.9191547364214,69.00986998869952,286.9353109360451,247.35581861643252,208.13909628824987,224.7878985601521,256.7487111174151,221.5008777329133
17,250.1000597076588,71.32631099729036,272.12236211046394,234.5270284423288,214.04512524305417,248.4408329144744,206.48879810303043,270.6652673404178
18,270.9567859115786,89.20204912525713,271.7530412444157,245.03908652923383,227.1975488333522,197.91679914261408,204.48439637627317,288.1252767406873
19,279.757521393176,123.32271724351148,280.56931356489724,265.64532581061934,256.4163513861819,181.85270108503784,186.01096265201792,290.7980977650499
20,292.15078844378866,143.41266115899052,293.433979082296,287.08928649126096,288.3179863336213,184.1297130315574,187.9874443748343,293.0289808434435
21,262.73383826177576,209.08830566727107,286.1351803497228,319.46822959587104,309.64255861044626,172.84782164412707,175.91705297611273,318.7651679456443
